,lineId,stop_name,stop_code,X,Y
2840, 83,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2841, 83A,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2842,33,Lower Gardiner Street,1171,-6.25424793649004,53.350317470064
2843, 41,Lower Gardiner Street,1171,-6.25424793649004,53.350317470064
2844, 41B,Lower Gardiner Street,1171,-6.25424793649004,53.350317470064
2845, 41C,Lower Gardiner Street,1171,-6.25424793649004,53.350317470064
2846,33,Lower Gardiner Street,1172,-6.25524120436022,53.3517431302441
2847, 41,Lower Gardiner Street,1172,-6.25524120436022,53.3517431302441
2848, 41B,Lower Gardiner Street,1172,-6.25524120436022,53.3517431302441
2849, 41C,Lower Gardiner Street,1172,-6.25524120436022,53.3517431302441
2850, 747,Lower Gardiner Street,1172,-6.25524120436022,53.3517431302441
2851,33,Lower Gardiner Street,1173,-6.25666074309809,53.3537682300583
2852, 41,Lower Gardiner Street,1173,-6.25666074309809,53.3537682300583
2853, 41B,Lower Gardiner Street,1173,-6.25666074309809,53.3537682300583
2854, 41C,Lower Gardiner Street,1173,-6.25666074309809,53.3537682300583
2855,33,Mountjoy Square Park,1174,-6.25869087546601,53.3562965702503
2856, 41,Mountjoy Square Park,1174,-6.25869087546601,53.3562965702503
2857, 41B,Mountjoy Square Park,1174,-6.25869087546601,53.3562965702503
2858, 41C,Mountjoy Square Park,1174,-6.25869087546601,53.3562965702503
2859, 7,Mountjoy Square Park,1174,-6.25869087546601,53.3562965702503
2860,33,Upper Gardiner Street,1175,-6.26115155455796,53.3585884597165
2861, 41,Upper Gardiner Street,1175,-6.26115155455796,53.3585884597165
2862, 41B,Upper Gardiner Street,1175,-6.26115155455796,53.3585884597165
2863, 41C,Upper Gardiner Street,1175,-6.26115155455796,53.3585884597165
2864,27B,Sports Grounds,1176,-6.22186277394917,53.3993548196011
2865,27B,Sports Grounds (Opposite),1177,-6.22524282655801,53.4008881598
2866,27B,Business Park,1178,-6.21884961794069,53.4034444298897
2867,27B,"Clonsaugh Und.Est, Business Park",1179,-6.21892118306143,53.3999311495898
2868,40B,Lanesborough Estate,1181,-6.30063814770315,53.4056972496175
2869, 83,Lanesborough Estate,1181,-6.30063814770315,53.4056972496175
2870, 83A,Lanesborough Estate,1181,-6.30063814770315,53.4056972496175
2871,40B,Charlestown Estate,1182,-6.3009123088684,53.4056112701766
2872, 83,Charlestown Estate,1182,-6.3009123088684,53.4056112701766
2873, 83A,Charlestown Estate,1182,-6.3009123088684,53.4056112701766
2874,42,Talbot Street (opp Bank of Ireland),1184,-6.25383558254721,53.3508507203067
2875, 43,Talbot Street (opp Bank of Ireland),1184,-6.25383558254721,53.3508507203067
2876, 53,Talbot Street (opp Bank of Ireland),1184,-6.25383558254721,53.3508507203067
2877,14,Collins Avenue (Oak Road),1185,-6.22151304661898,53.3763670096188
2878,14,Collins Avenue,1186,-6.22631491613099,53.3776428798933
2879,14,Saint Vincent's Court,1187,-6.23134041876213,53.3786072896689
2880,14,Grace Park Heights,1188,-6.23558106040335,53.3800182699223
2881,14,Collinswood Estate,1190,-6.23577078480598,53.3801558996665
2882, 14C,Collinswood Estate,1190,-6.23577078480598,53.3801558996665
2883,14,Grace Park Heights,1191,-6.23305881751711,53.3792169704361
2884, 14C,Grace Park Heights,1191,-6.23305881751711,53.3792169704361
2885,14,Collins Avenue (Celtic Park Road),1192,-6.23064790907154,53.3786329695681
2886, 14C,Collins Avenue (Celtic Park Road),1192,-6.23064790907154,53.3786329695681
2887,14,Grace Park Meadows,1193,-6.22742774672647,53.3779919796158
2888, 14C,Grace Park Meadows,1193,-6.22742774672647,53.3779919796158
2889,14,Collins Avenue,1194,-6.22510225992887,53.3775259897188
2890, 14C,Collins Avenue,1194,-6.22510225992887,53.3775259897188
2891,14,Collins Avenue (Oak Road),1195,-6.22122651820754,53.3763897101136
2892, 14C,Collins Avenue (Oak Road),1195,-6.22122651820754,53.3763897101136
2893,104,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2894, 15,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2895, 27,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2896, 27A,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2897, 27B,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2898, 27X,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2899, 42,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2900, 43,Malahide Road (Killester Avenue),1196,-6.21452960422972,53.3780244198768
2901,104,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2902, 15,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2903, 27,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2904, 27A,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2905, 27B,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2906, 27X,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2907, 42,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2908, 43,Malahide Road (Kilmore Road),1197,-6.21174331079663,53.3792320502696
2909,15,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2910, 27,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2911, 27A,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2912, 27B,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2913, 27X,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2914, 42,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2915, 43,Artane Roundabout,1198,-6.20690056723821,53.3825119703852
2916,15,Mask Avenue,1199,-6.20275259009846,53.3849842401372
2917, 27,Mask Avenue,1199,-6.20275259009846,53.3849842401372
